"Source:","C:\Users\andy\OneDrive\Documents\DJet ECU Tester V2\trunk\DJet ECU Tester\PCB\DJetECUTester\DJetECUTester.sch"
"Date:","26/09/2022 21:35:14"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","136"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#","manf2#","psu"
"","","C1","4.7uF e","Device:CP","Capacitor_SMD:CP_Elec_4x5.8","~","","",""
"","","C2","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C4","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C5","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C6","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C7","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C8","680uF e","Device:CP","Capacitor_SMD:CP_Elec_10x10.5","~","","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C10","220uF e","Device:CP","Capacitor_SMD:CP_Elec_8x6.5","~","","",""
"","","C11","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C12","4.7uF 16V e","Device:CP","Capacitor_SMD:CP_Elec_4x5.8","~","","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C14","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C15","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C16","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C17","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C18","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C19","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","C20","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"","","D1","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D2","B360A-13-F","Device:D_Schottky","Diode_SMD:D_SMA","~","B360A-13-F","",""
"","","D3","PWR","Device:LED","LED_SMD:LED_PLCC-2","~","","",""
"","","D4","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","MBR0520LT1G","",""
"","","D5","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D6","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D7","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D8","RED","Device:LED","LED_SMD:LED_PLCC-2","~","","",""
"","","D9","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D10","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","","",""
"","","D11","RED","Device:LED","LED_SMD:LED_PLCC-2","~","","",""
"","","FB1","MI0805K400R-10","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","~","MI0805K400R-10","",""
"","","J1","ISP","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","",""
"","","J2","ECU1","Connector:Screw_Terminal_01x08","Britishideas:PhoenixContact_COMBICON_PT_8","~","1935831","",""
"","","J3","USB_B_Mini","DJetECUTester-rescue:USB_B_Mini-Connector","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","~","65100516121","",""
"","","J4","12V 4A IN (5.5/2.5)","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","694108301002","","https://www.amazon.com/COOLM-Transformer-Doorbell-100-240V-5-5x2-5mm/dp/B07D5BX22W"
"","","J5","12V IN","Connector:Screw_Terminal_01x02","Britishideas:PhoenixContact_COMBICON_MKDSN_2","~","1729018","",""
"","","J6","MPS","Connector:Screw_Terminal_01x04","Britishideas:PhoenixContact_COMBICON_PT_4","~","1935792","",""
"","","J7","Conn_01x01","Connector_Generic:Conn_01x01","Britishideas:tabconnector-63849-1","~","63849-1","",""
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","Britishideas:tabconnector-63849-1","~","63849-1","",""
"","","J9","ECU2","Connector:Screw_Terminal_01x10","Britishideas:PhoenixContact_COMBICON_PT_10","~","1935242","",""
"","","J10","ECU3","Connector:Screw_Terminal_01x07","Britishideas:PhoenixContact_COMBICON_PT_7","~","1935213","",""
"","","JP1","COOLANTTEMP","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","",""
"","","JP2","AIRTEMP","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","",""
"","","JP3","COOLANTTEMP","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","",""
"","","L1","33uH","Device:L","Britishideas:Wurth-WE-LQS-Inductor","~","74404063330","",""
"","","L2","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L3","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L4","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L5","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L6","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L7","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L8","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L9","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L10","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L11","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L12","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L13","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L14","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
"","","L15","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
